node,degree,wdegree,pagerank,is_oncokb,betweenness,closeness,clustering,degree_rank,wdegree_rank,pagerank_rank,betweenness_rank,closeness_rank,clustering_rank,is_cosmic,is_tcga
EPRS1,32,26.844,0.000346624502979504,False,0.0,0.0,0.04032258064516129,46.0,59.0,121.0,1.0,1.0,1557.0,False,False
RPL9,32,29.116,0.00028211148730824295,False,0.0,0.0,0.04838709677419355,46.0,40.0,233.0,1.0,1.0,1330.0,False,False
INS,31,25.947,0.000588236724441159,False,0.0,0.0,0.0064516129032258064,54.0,72.0,17.0,1.0,1.0,2245.0,False,False
RPL38,31,28.168,0.00027586571581511126,False,0.0,0.0,0.023655913978494623,54.0,50.0,257.0,1.0,1.0,1949.0,False,False
H3-3B,31,26.578,0.00045977737629367447,True,0.0,0.0,0.010752688172043012,54.0,63.0,49.0,1.0,1.0,2188.0,False,False
TNF,31,24.962,0.0005287198043128126,False,0.0,0.0,0.0064516129032258064,54.0,84.0,30.0,1.0,1.0,2245.0,False,False
RPL11,31,27.085,0.0003200254149314719,False,0.0,0.0,0.021505376344086023,54.0,56.0,155.0,1.0,1.0,2012.0,False,False
H4-16,30,26.004,0.000382470826766129,False,0.0,0.0,0.016091954022988506,59.0,71.0,86.0,1.0,1.0,2090.0,False,False
RPL7,30,25.91,0.00025989399468616164,False,0.0,0.0,0.03908045977011494,59.0,73.0,305.0,1.0,1.0,1564.0,False,False
H4C12,30,26.806,0.0003898172834470283,False,0.0,0.0,0.05057471264367816,59.0,61.0,74.0,1.0,1.0,1321.0,False,False
RPL8,30,26.451,0.00028310316942797246,False,0.0,0.0,0.04597701149425287,59.0,65.0,229.0,1.0,1.0,1456.0,False,False
MYC,30,24.909,0.00048412295272618475,True,0.0,0.0,0.0022988505747126436,59.0,86.0,38.0,1.0,1.0,2272.0,False,False
MRPS16,30,27.087,0.00029597461133603096,False,0.0,0.0,0.02528735632183908,59.0,55.0,196.0,1.0,1.0,1935.0,False,False
NOP58,30,26.931,0.0002969544544287116,False,0.0,0.0,0.03908045977011494,59.0,58.0,192.0,1.0,1.0,1564.0,False,False
HDAC1,30,27.4,0.0004960335856186593,True,0.0,0.0,0.013793103448275862,59.0,52.0,36.0,1.0,1.0,2140.0,False,False
GFM1,30,25.334,0.00025177984017323284,False,0.0,0.0,0.052873563218390804,59.0,80.0,339.0,1.0,1.0,1300.0,False,False
POLR1C,30,24.696,0.0002885098018947899,False,0.0,0.0,0.0367816091954023,59.0,89.0,212.0,1.0,1.0,1603.0,False,False
POLR2E,30,26.815,0.00040378484014949877,False,0.0,0.0,0.013793103448275862,59.0,60.0,69.0,1.0,1.0,2140.0,False,False
MRPL17,30,26.719,0.0003060307814281806,False,0.0,0.0,0.0367816091954023,59.0,62.0,175.0,1.0,1.0,1603.0,False,False
RHOA,30,24.083,0.0005613741086191802,True,0.0,0.0,0.009195402298850575,59.0,97.0,23.0,1.0,1.0,2213.0,False,False
BCL2,30,24.216,0.0004977593758570904,True,0.0,0.0,0.009195402298850575,59.0,96.0,34.0,1.0,1.0,2213.0,False,False
RPS3A,29,27.197,0.00026355895156715314,False,0.0,0.0,0.046798029556650245,73.0,53.0,294.0,1.0,1.0,1450.0,False,False
SKP1,29,26.436,0.0006606370416846182,False,0.0,0.0,0.007389162561576354,73.0,66.0,10.0,1.0,1.0,2231.0,False,False
RPLP0,29,26.128,0.0002905737179520462,False,0.0,0.0,0.017241379310344827,73.0,70.0,210.0,1.0,1.0,2079.0,False,False
RPS21,29,27.06,0.00026649192860315476,False,0.0,0.0,0.03694581280788178,73.0,57.0,281.0,1.0,1.0,1597.0,False,False
RPL5,29,26.253,0.0002748159440753491,True,0.0,0.0,0.019704433497536946,73.0,69.0,259.0,1.0,1.0,2023.0,False,False
CDC42,29,24.665,0.000588867786177287,True,0.0,0.0,0.009852216748768473,73.0,90.0,16.0,1.0,1.0,2197.0,False,False
RPL15,29,26.523,0.00025512537942833373,False,0.0,0.0,0.046798029556650245,73.0,64.0,322.0,1.0,1.0,1450.0,False,False
RPL19,29,26.407,0.00027115205553153497,False,0.0,0.0,0.029556650246305417,73.0,67.0,268.0,1.0,1.0,1801.0,False,False
RPL3,29,26.355999999999998,0.0002656097212254471,False,0.0,0.0,0.03694581280788178,73.0,68.0,284.0,1.0,1.0,1597.0,False,False
H4C11,28,24.92,0.00038135774059000504,False,0.0,0.0,0.021164021164021163,82.0,85.0,87.0,1.0,1.0,2013.0,False,False
RPS17,28,25.167,0.000250984330672243,False,0.0,0.0,0.05026455026455026,82.0,81.0,341.0,1.0,1.0,1322.0,False,False
MRPS5,28,24.732,0.00024131486748750868,False,0.0,0.0,0.05026455026455026,82.0,87.0,393.0,1.0,1.0,1322.0,False,False
GRB2,28,24.583,0.0005372409820735964,False,0.0,0.0,0.005291005291005291,82.0,91.0,28.0,1.0,1.0,2255.0,False,False
MRPL24,28,25.062,0.00024284001626193196,False,0.0,0.0,0.0582010582010582,82.0,82.0,386.0,1.0,1.0,1210.0,False,False
POLR2B,28,24.582,0.00032252890308201427,False,0.0,0.0,0.0291005291005291,82.0,92.0,149.0,1.0,1.0,1809.0,False,False
RPS2,28,25.335,0.0002644844782605738,False,0.0,0.0,0.0291005291005291,82.0,79.0,291.0,1.0,1.0,1809.0,False,False
HSPA4,28,23.466,0.0004721283763195393,False,0.0,0.0,0.007936507936507936,82.0,106.0,44.0,1.0,1.0,2227.0,False,False
RPL13,28,25.896,0.0002495113506960252,False,0.0,0.0,0.05026455026455026,82.0,75.0,350.0,1.0,1.0,1322.0,False,False
RPL18A,28,25.823,0.00025440954967229275,False,0.0,0.0,0.04497354497354497,82.0,76.0,329.0,1.0,1.0,1483.0,False,False
